variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	notes
cmaX_2	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_12223	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
exsB	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
exsA	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
pscE	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1230	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1231	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
pabB	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1233	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1234	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
