#largest_contig           ,n50                     ,n75                     ,assembly_len            ,num_of_contigs
7.830040000000000000e+05 3.181130000000000000e+05 1.362900000000000000e+05 6.626821000000000000e+06 4.500000000000000000e+01
7.830040000000000000e+05 3.181130000000000000e+05 1.362900000000000000e+05 6.626821000000000000e+06 4.500000000000000000e+01
7.494350000000000000e+05 2.644580000000000000e+05 1.891130000000000000e+05 6.454372000000000000e+06 4.600000000000000000e+01
7.494350000000000000e+05 2.644580000000000000e+05 1.891130000000000000e+05 6.454372000000000000e+06 4.600000000000000000e+01
7.184080000000000000e+05 1.444700000000000000e+05 9.247800000000000000e+04 6.950227000000000000e+06 9.600000000000000000e+01
7.184080000000000000e+05 1.444700000000000000e+05 9.247800000000000000e+04 6.950227000000000000e+06 9.600000000000000000e+01
3.716880000000000000e+05 9.855700000000000000e+04 5.315300000000000000e+04 6.268236000000000000e+06 1.170000000000000000e+02
3.716880000000000000e+05 9.855700000000000000e+04 5.315300000000000000e+04 6.268236000000000000e+06 1.170000000000000000e+02
4.278380000000000000e+05 1.881630000000000000e+05 1.046630000000000000e+05 6.954639000000000000e+06 8.300000000000000000e+01
4.278380000000000000e+05 1.881630000000000000e+05 1.046630000000000000e+05 6.954639000000000000e+06 8.300000000000000000e+01
4.278370000000000000e+05 1.452790000000000000e+05 9.784700000000000000e+04 6.946030000000000000e+06 1.000000000000000000e+02
4.278370000000000000e+05 1.452790000000000000e+05 9.784700000000000000e+04 6.946030000000000000e+06 1.000000000000000000e+02
7.122630000000000000e+05 3.320910000000000000e+05 1.395610000000000000e+05 6.281332000000000000e+06 4.000000000000000000e+01
7.122630000000000000e+05 3.320910000000000000e+05 1.395610000000000000e+05 6.281332000000000000e+06 4.000000000000000000e+01
5.007270000000000000e+05 3.004210000000000000e+05 1.388740000000000000e+05 6.280257000000000000e+06 4.300000000000000000e+01
5.007270000000000000e+05 3.004210000000000000e+05 1.388740000000000000e+05 6.280257000000000000e+06 4.300000000000000000e+01
7.123450000000000000e+05 3.319470000000000000e+05 1.635660000000000000e+05 6.282295000000000000e+06 3.500000000000000000e+01
7.123450000000000000e+05 3.319470000000000000e+05 1.635660000000000000e+05 6.282295000000000000e+06 3.500000000000000000e+01
3.458110000000000000e+05 1.266440000000000000e+05 6.682200000000000000e+04 6.794128000000000000e+06 1.020000000000000000e+02
3.458110000000000000e+05 1.266440000000000000e+05 6.682200000000000000e+04 6.794128000000000000e+06 1.020000000000000000e+02
3.334340000000000000e+05 9.743100000000000000e+04 6.269700000000000000e+04 6.794997000000000000e+06 1.250000000000000000e+02
3.334340000000000000e+05 9.743100000000000000e+04 6.269700000000000000e+04 6.794997000000000000e+06 1.250000000000000000e+02
4.761520000000000000e+05 2.709360000000000000e+05 1.304790000000000000e+05 6.807185000000000000e+06 5.900000000000000000e+01
4.761520000000000000e+05 2.709360000000000000e+05 1.304790000000000000e+05 6.807185000000000000e+06 5.900000000000000000e+01
8.215080000000000000e+05 2.662570000000000000e+05 1.207300000000000000e+05 6.306023000000000000e+06 4.800000000000000000e+01
8.215080000000000000e+05 2.662570000000000000e+05 1.207300000000000000e+05 6.306023000000000000e+06 4.800000000000000000e+01
6.715250000000000000e+05 3.463740000000000000e+05 1.384950000000000000e+05 6.651671000000000000e+06 4.200000000000000000e+01
6.715250000000000000e+05 3.463740000000000000e+05 1.384950000000000000e+05 6.651671000000000000e+06 4.200000000000000000e+01
